               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072624,            0.029245,            0.054704,             0.19692,             0.39861,             0.18863,            0.079081,            0.027174,            0.015043,            0.030532,             0.00325,             0.00325,             0.07075
                   1,            0.051057,            0.019263,            0.048921,             0.33176,             0.42542,             0.24391,            0.061136,            0.032048,            0.010166,            0.026873,           0.0065182,           0.0065182,            0.040685
                   2,            0.047283,             0.01596,            0.047366,             0.18461,             0.43165,             0.21705,             0.10891,            0.030735,           0.0082582,            0.026349,           0.0097203,           0.0097203,            0.010554
                   3,            0.043188,            0.015739,            0.045814,             0.28394,             0.52324,             0.34708,             0.17277,            0.025132,           0.0077699,            0.024563,            0.009703,            0.009703,            0.009703
                   4,            0.041675,            0.013078,             0.04603,             0.21998,             0.60078,             0.29363,             0.13424,            0.024128,           0.0083143,            0.027935,            0.009703,            0.009703,            0.009703
                   5,            0.034619,             0.01191,            0.043957,             0.41169,              0.7109,             0.57968,              0.3182,            0.019685,           0.0054435,            0.018009,            0.009604,            0.009604,            0.009604
                   6,            0.032554,             0.01062,            0.038367,             0.62466,             0.74469,             0.72414,              0.4557,            0.017541,           0.0047291,            0.015866,            0.009505,            0.009505,            0.009505
                   7,            0.032936,           0.0097377,            0.037953,             0.50187,             0.87904,             0.72259,             0.43341,            0.017697,           0.0048921,            0.011881,            0.009406,            0.009406,            0.009406
                   8,            0.032547,           0.0092192,            0.035466,             0.52553,             0.81518,             0.77858,             0.58585,            0.013687,           0.0046105,            0.016717,            0.009307,            0.009307,            0.009307
                   9,            0.032842,           0.0092231,            0.034359,             0.77391,              0.9243,             0.84306,             0.62289,            0.016769,           0.0047486,           0.0092033,            0.009208,            0.009208,            0.009208
                  10,            0.027088,            0.009044,            0.028116,             0.77435,             0.94516,             0.85829,             0.69006,            0.012046,           0.0041244,           0.0087481,            0.009109,            0.009109,            0.009109
                  11,            0.028235,           0.0090316,            0.026104,             0.77062,             0.97272,             0.87742,             0.65622,            0.012926,           0.0039775,           0.0069194,             0.00901,             0.00901,             0.00901
                  12,            0.027887,           0.0084453,            0.024535,             0.85929,             0.98557,             0.91299,             0.73738,            0.011547,            0.003794,           0.0045471,            0.008911,            0.008911,            0.008911
                  13,            0.026534,           0.0083765,            0.023881,             0.85249,              0.9835,             0.92004,             0.69427,            0.014169,           0.0040101,           0.0046003,            0.008812,            0.008812,            0.008812
                  14,            0.023103,           0.0078705,            0.019684,             0.81716,              0.9392,             0.90297,             0.74202,            0.011192,           0.0040437,            0.006009,            0.008713,            0.008713,            0.008713
                  15,            0.021622,           0.0075838,            0.017329,             0.80916,             0.92149,             0.89657,             0.68017,            0.012706,           0.0038981,           0.0067674,            0.008614,            0.008614,            0.008614
                  16,            0.024307,           0.0078362,            0.021066,             0.85418,             0.96299,             0.90552,             0.72633,            0.010734,            0.003886,           0.0046252,            0.008515,            0.008515,            0.008515
                  17,            0.024088,           0.0082517,            0.020763,             0.86095,             0.97932,             0.91977,              0.7871,           0.0096407,           0.0039521,           0.0037135,            0.008416,            0.008416,            0.008416
                  18,            0.023495,            0.008311,            0.017574,             0.63175,             0.59591,             0.67242,             0.47083,            0.013415,           0.0070184,            0.019561,            0.008317,            0.008317,            0.008317
                  19,            0.024361,           0.0088029,            0.020541,             0.76084,             0.68653,             0.74984,             0.56223,            0.015099,           0.0074786,            0.008846,            0.008218,            0.008218,            0.008218
                  20,             0.02116,            0.008125,            0.016612,             0.84888,              0.9522,             0.91423,             0.79096,           0.0084676,           0.0036411,           0.0049913,            0.008119,            0.008119,            0.008119
                  21,            0.023074,           0.0074477,            0.016517,              0.8584,             0.96317,             0.92674,             0.70477,            0.013044,           0.0041825,           0.0041258,             0.00802,             0.00802,             0.00802
                  22,            0.023908,           0.0077231,            0.017616,             0.66963,             0.83826,             0.77371,             0.60862,            0.013504,           0.0056217,            0.011935,            0.007921,            0.007921,            0.007921
                  23,             0.02417,           0.0079511,            0.018091,             0.92705,             0.97434,             0.98404,               0.843,           0.0087824,           0.0035163,           0.0032213,            0.007822,            0.007822,            0.007822
                  24,            0.023377,           0.0072799,            0.016765,             0.90705,             0.87818,             0.92567,             0.79398,           0.0088283,            0.003827,           0.0036468,            0.007723,            0.007723,            0.007723
                  25,            0.022306,            0.007594,            0.012485,             0.97861,             0.98346,             0.98431,             0.78193,            0.011476,           0.0035536,           0.0026062,            0.007624,            0.007624,            0.007624
                  26,            0.022603,           0.0082496,             0.01732,              0.9245,             0.76012,             0.87395,              0.7155,            0.011639,           0.0048783,            0.012815,            0.007525,            0.007525,            0.007525
                  27,            0.021372,           0.0080352,            0.014993,             0.98324,             0.99202,             0.98735,             0.83981,           0.0092754,           0.0035804,           0.0019784,            0.007426,            0.007426,            0.007426
                  28,            0.023375,           0.0078517,            0.013455,             0.98476,             0.98936,             0.98656,             0.85742,           0.0095207,           0.0034595,           0.0018688,            0.007327,            0.007327,            0.007327
                  29,            0.019638,           0.0075659,            0.011346,             0.98344,              0.9902,             0.98808,             0.80161,            0.011744,           0.0033194,           0.0018828,            0.007228,            0.007228,            0.007228
                  30,            0.022908,           0.0078894,            0.012814,             0.96294,             0.97828,             0.98648,             0.86037,           0.0078682,            0.003263,           0.0028978,            0.007129,            0.007129,            0.007129
                  31,            0.022385,           0.0077542,            0.011468,             0.97938,             0.98982,             0.98801,             0.87305,           0.0081224,           0.0032571,           0.0019692,             0.00703,             0.00703,             0.00703
                  32,            0.022609,           0.0072866,            0.010903,              0.9793,             0.98466,             0.98853,             0.88344,           0.0075338,           0.0032466,           0.0022238,            0.006931,            0.006931,            0.006931
                  33,            0.021374,           0.0073283,            0.015018,             0.98504,             0.99387,             0.98596,             0.88871,           0.0084142,           0.0032581,           0.0017823,            0.006832,            0.006832,            0.006832
                  34,            0.019877,           0.0075458,            0.011599,              0.9838,             0.99039,              0.9861,             0.85205,            0.009811,           0.0033335,           0.0016945,            0.006733,            0.006733,            0.006733
                  35,            0.019832,           0.0075827,            0.011456,             0.98488,             0.99263,             0.98653,             0.87878,           0.0076361,           0.0030959,           0.0014501,            0.006634,            0.006634,            0.006634
                  36,            0.021221,           0.0074826,            0.012922,             0.98566,             0.98872,              0.9834,             0.85024,           0.0077072,           0.0031837,           0.0018247,            0.006535,            0.006535,            0.006535
                  37,             0.01891,           0.0076489,           0.0087265,             0.97229,             0.99406,             0.98516,                0.86,           0.0079227,           0.0032124,            0.001461,            0.006436,            0.006436,            0.006436
                  38,            0.023305,           0.0076287,            0.012923,             0.98735,             0.99063,             0.98643,             0.87193,           0.0092744,           0.0034906,           0.0014786,            0.006337,            0.006337,            0.006337
                  39,            0.019378,           0.0070823,           0.0090945,             0.98416,             0.99434,             0.98866,              0.8969,           0.0074614,           0.0028554,           0.0015057,            0.006238,            0.006238,            0.006238
                  40,              0.0196,           0.0070848,           0.0088354,             0.98486,             0.99454,             0.98809,             0.90735,            0.007511,           0.0028743,           0.0013627,            0.006139,            0.006139,            0.006139
                  41,            0.022093,           0.0068168,           0.0094215,             0.98437,             0.99084,             0.98779,             0.87298,           0.0072563,           0.0029292,           0.0015434,             0.00604,             0.00604,             0.00604
                  42,            0.020517,           0.0071328,            0.012267,             0.89477,             0.94448,             0.97341,             0.87333,           0.0071334,           0.0032844,           0.0072515,            0.005941,            0.005941,            0.005941
                  43,             0.02004,           0.0076314,            0.012114,             0.98677,                0.99,             0.98553,             0.86973,           0.0076499,            0.003152,           0.0014788,            0.005842,            0.005842,            0.005842
                  44,            0.018344,           0.0072324,             0.01207,              0.9863,             0.98962,             0.98832,             0.90721,           0.0059728,            0.002825,           0.0013574,            0.005743,            0.005743,            0.005743
                  45,             0.01819,           0.0069218,            0.010645,             0.93055,             0.87993,             0.94827,             0.83611,           0.0087432,           0.0044937,           0.0050016,            0.005644,            0.005644,            0.005644
                  46,            0.020304,           0.0068816,            0.012026,             0.98492,             0.99199,             0.98899,              0.9128,           0.0060478,           0.0029072,             0.00129,            0.005545,            0.005545,            0.005545
